0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(877.5, 1140.0)","(708.75, 1140.0)","(405.0, 1320.0)","(354.375, 1320.0)","(826.875, 1080.0)","(658.125, 1020.0)","(388.125, 1320.0)","(691.875, 1020.0)","(675.0, 1050.0)","(793.125, 930.0)","(793.125, 1050.0)","(894.375, 1200.0)","(675.0, 1080.0)","(759.375, 960.0)","(911.25, 1200.0)","(793.125, 1020.0)"
"(894.375, 1140.0)","(894.375, 1200.0)","(438.75, 1320.0)","(354.375, 1320.0)","(911.25, 1200.0)","(911.25, 1170.0)","(388.125, 1290.0)","(658.125, 1020.0)","(658.125, 1020.0)","(793.125, 900.0)","(573.75, 960.0)","(894.375, 1200.0)","(691.875, 1080.0)","(894.375, 1170.0)","(894.375, 1200.0)","(556.875, 930.0)"
"(793.125, 990.0)","(675.0, 1050.0)","(438.75, 1320.0)","(354.375, 1290.0)","(793.125, 990.0)","(708.75, 810.0)","(388.125, 1290.0)","(658.125, 1020.0)","(658.125, 990.0)","(793.125, 900.0)","(573.75, 930.0)","(894.375, 1170.0)","(691.875, 1050.0)","(708.75, 810.0)","(894.375, 1170.0)","(894.375, 1170.0)"
"(894.375, 1110.0)","(911.25, 1140.0)","(438.75, 1290.0)","(354.375, 1260.0)","(810.0, 960.0)","(894.375, 1110.0)","(388.125, 1290.0)","(658.125, 960.0)","(641.25, 990.0)","(810.0, 930.0)","(691.875, 810.0)","(894.375, 1140.0)","(691.875, 1050.0)","(708.75, 1050.0)","(556.875, 900.0)","(877.5, 1110.0)"
"(556.875, 1770.0)","(675.0, 990.0)","(421.875, 1260.0)","(354.375, 1260.0)","(776.25, 990.0)","(894.375, 1110.0)","(388.125, 1260.0)","(641.25, 900.0)","(641.25, 960.0)","(607.5, 720.0)","(793.125, 960.0)","(793.125, 1080.0)","(658.125, 990.0)","(556.875, 900.0)","(894.375, 1140.0)","(776.25, 930.0)"
"(556.875, 1740.0)","(708.75, 1500.0)","(421.875, 1260.0)","(371.25, 1200.0)","(810.0, 960.0)","(556.875, 1740.0)","(388.125, 1230.0)","(641.25, 900.0)","(641.25, 930.0)","(691.875, 720.0)","(928.125, 1110.0)","(894.375, 1110.0)","(658.125, 990.0)","(590.625, 930.0)","(540.0, 840.0)","(843.75, 1050.0)"
"(556.875, 1740.0)","(708.75, 1470.0)","(421.875, 1260.0)","(371.25, 1200.0)","(810.0, 900.0)","(556.875, 1740.0)","(388.125, 1230.0)","(641.25, 900.0)","(641.25, 930.0)","(691.875, 690.0)","(810.0, 930.0)","(894.375, 1080.0)","(675.0, 990.0)","(590.625, 900.0)","(523.125, 840.0)","(793.125, 960.0)"
"(556.875, 1770.0)","(708.75, 1500.0)","(421.875, 1230.0)","(354.375, 1200.0)","(675.0, 1380.0)","(810.0, 930.0)","(388.125, 1230.0)","(624.375, 900.0)","(624.375, 900.0)","(658.125, 660.0)","(793.125, 900.0)","(894.375, 1050.0)","(658.125, 960.0)","(590.625, 900.0)","(523.125, 810.0)","(556.875, 810.0)"
"(556.875, 1740.0)","(708.75, 1500.0)","(438.75, 1230.0)","(371.25, 1200.0)","(675.0, 1380.0)","(810.0, 900.0)","(405.0, 1200.0)","(624.375, 900.0)","(624.375, 900.0)","(641.25, 630.0)","(793.125, 900.0)","(894.375, 1050.0)","(658.125, 930.0)","(590.625, 900.0)","(523.125, 780.0)","(826.875, 960.0)"
"(556.875, 1770.0)","(708.75, 1500.0)","(421.875, 1200.0)","(371.25, 1200.0)","(793.125, 870.0)","(556.875, 1740.0)","(405.0, 1170.0)","(607.5, 870.0)","(624.375, 870.0)","(624.375, 600.0)","(860.625, 1020.0)","(894.375, 1020.0)","(658.125, 930.0)","(540.0, 840.0)","(523.125, 780.0)","(826.875, 930.0)"
"(540.0, 1770.0)","(708.75, 1470.0)","(438.75, 1200.0)","(371.25, 1170.0)","(793.125, 870.0)","(540.0, 1740.0)","(405.0, 1170.0)","(607.5, 840.0)","(624.375, 840.0)","(607.5, 600.0)","(793.125, 870.0)","(894.375, 990.0)","(658.125, 900.0)","(540.0, 780.0)","(506.25, 780.0)","(810.0, 900.0)"
"(540.0, 1770.0)","(691.875, 1470.0)","(438.75, 1200.0)","(371.25, 1170.0)","(675.0, 1380.0)","(540.0, 1740.0)","(405.0, 1200.0)","(607.5, 840.0)","(607.5, 840.0)","(641.25, 570.0)","(793.125, 840.0)","(894.375, 990.0)","(658.125, 900.0)","(675.0, 900.0)","(506.25, 720.0)","(776.25, 840.0)"
"(540.0, 1770.0)","(691.875, 1470.0)","(438.75, 1200.0)","(388.125, 1170.0)","(675.0, 1350.0)","(523.125, 1740.0)","(405.0, 1170.0)","(607.5, 840.0)","(607.5, 810.0)","(641.25, 540.0)","(793.125, 840.0)","(894.375, 960.0)","(641.25, 870.0)","(573.75, 810.0)","(506.25, 720.0)","(776.25, 840.0)"
"(540.0, 1800.0)","(691.875, 1470.0)","(438.75, 1170.0)","(388.125, 1140.0)","(388.125, 1650.0)","(523.125, 1740.0)","(421.875, 1140.0)","(607.5, 810.0)","(607.5, 810.0)","(624.375, 540.0)","(810.0, 810.0)","(894.375, 930.0)","(641.25, 870.0)","(573.75, 810.0)","(506.25, 720.0)","(776.25, 810.0)"
"(540.0, 1770.0)","(675.0, 1470.0)","(455.625, 1170.0)","(388.125, 1140.0)","(371.25, 1650.0)","(540.0, 1800.0)","(421.875, 1140.0)","(607.5, 810.0)","(607.5, 780.0)","(641.25, 510.0)","(793.125, 780.0)","(894.375, 930.0)","(658.125, 840.0)","(573.75, 810.0)","(506.25, 720.0)","(742.5, 750.0)"
